,URL,Title,Date
151,https://tass.ru/nacionalnye-proekty/6136445,"Власти Приморья планируют создать 3,6 тыс. мест в яслях по нацпроекту Демография

",https://tass.ru/nacionalnye-proekty/6136445
152,https://tass.ru/nacionalnye-proekty/6136426,"Более 122 км дорог отремонтируют в Якутии в рамках нацпроекта

",https://tass.ru/nacionalnye-proekty/6136426
153,https://tass.ru/obschestvo/6136423,"Кабинет для оказания медпомощи детям с гепатитом С создали в Приамурье

",https://tass.ru/obschestvo/6136423
154,https://tass.ru/obschestvo/6136288,"Жители Ростовской области могут узнать о переходе на цифровое телевещание в МФЦ

",https://tass.ru/obschestvo/6136288
155,https://tass.ru/obschestvo/6136182,"Кадыров движение на ведущей к курорту Кезеной-Ам в Чечне дороге восстановят во вторник

",https://tass.ru/obschestvo/6136182
156,https://tass.ru/obschestvo/6136150,"Доступ в корпуса на площадке ИТМО в Петербурге, где произошло обрушение, закрыт до 7 марта

",https://tass.ru/obschestvo/6136150
157,https://tass.ru/proisshestviya/6136121,"Водитель попавшего в Ростовской области в ДТП микроавтобуса погиб

",https://tass.ru/proisshestviya/6136121
158,https://tass.ru/obschestvo/6136129,"Спецборт МЧС доставил из Ингушетии на лечение в Нижний Новгород пять тяжелобольных людей

",https://tass.ru/obschestvo/6136129
159,https://tass.ru/v-strane/6136109,"В Дагестане планируется создать единые системы ЖКХ, учета земель и видеонаблюдения

",https://tass.ru/v-strane/6136109
160,https://tass.ru/v-strane/6136063,"Законопроект о реестре коренных народов могут внести в Думу в весеннюю сессию

",https://tass.ru/v-strane/6136063
161,https://tass.ru/proisshestviya/6136028,"Экстренные службы не нашли взрывоопасных предметов на объектах в Ростовской области

",https://tass.ru/proisshestviya/6136028
162,https://tass.ru/obschestvo/6135969,"В Калужской области закрыли полигон на который незаконно вывозили отходы

",https://tass.ru/obschestvo/6135969
163,https://tass.ru/obschestvo/6135958,"Эксперты жители Курил отмечают ускорение развития островов

",https://tass.ru/obschestvo/6135958
164,https://tass.ru/kultura/6135927,"Псковская область направила в Минкультуры РФ документы по созданию объединенного музея

",https://tass.ru/kultura/6135927
165,https://tass.ru/proisshestviya/6135609,"В Нижегородской области руководителя реабилитационного центра осудили за похищения людей

",https://tass.ru/proisshestviya/6135609
166,https://tass.ru/obschestvo/6135516,"Власти Адыгеи поддержат переселение в регион проживающих за рубежом соотечественников

",https://tass.ru/obschestvo/6135516
167,https://tass.ru/nauka/6135199,"Российские палеонтологи описали девять ранее неизвестных видов древних насекомых

",https://tass.ru/nauka/6135199
168,https://tass.ru/obschestvo/6135434,"Власти Адыгеи намерены сформировать у жителей культуру обращения с бытовым мусором

",https://tass.ru/obschestvo/6135434
